Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","C_1206_3216Metric",21.082000,14.810000,90.000000,top
"C2","10uf","C_1206_3216Metric",37.592000,14.810000,90.000000,top
"D1","RFN1LAM6STR","D_SOD-123",49.530000,26.800500,-90.000000,top
"OC1","4N35","SMDIP-6_W7.62mm",55.880000,34.290000,90.000000,top
"OC2","MOC3021S-TA1","SMDIP-6_W7.62mm",33.025000,34.290000,-90.000000,top
"OC3","MOC3021S-TA1","SMDIP-6_W7.62mm",16.510000,34.290000,-90.000000,top
"Q1","BC847","SOT-23",57.482500,42.230000,180.000000,top
"Q2","BT136S-600","TO-252-2",32.005000,23.735000,90.000000,top
"Q3","BT136S-600","TO-252-2",15.495000,23.735000,90.000000,top
"R1","470","R_1206_3216Metric",46.990000,53.340000,0.000000,top
"R2","470","R_1206_3216Metric",46.990000,50.800000,0.000000,top
"R3","240","R_1206_3216Metric",47.182500,66.040000,0.000000,top
"R4","240","R_1206_3216Metric",34.097500,42.265000,180.000000,top
"R5","470","R_2512_6332Metric",38.100000,21.167500,-90.000000,top
"R6","20k","R_2512_6332Metric",44.450000,27.517500,90.000000,top
"R7","220","R_2512_6332Metric",32.172500,15.240000,180.000000,top
"R8","470","R_1206_3216Metric",47.182500,60.960000,0.000000,top
"R9","240","R_1206_3216Metric",17.587500,42.265000,180.000000,top
"R10","220","R_2512_6332Metric",15.662500,15.240000,180.000000,top
"R11","470","R_2512_6332Metric",21.585000,21.167500,-90.000000,top
"R12","240","R_1206_3216Metric",47.182500,71.120000,0.000000,top
"U2","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",15.875000,67.040000,0.000000,top
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",15.240000,83.185000,0.000000,top
